timestamp,algorithm,num_qubits,database_size,trial,target,found,success,iterations,theoretical_prob,time_seconds,classical_complexity,quantum_complexity,speedup_factor
2025-12-27T18:49:39.790943,grover,2,4,1,0,3,False,1,1.0,0.0010619163513183594,4,1,4.0
2025-12-27T18:49:39.791742,grover,2,4,2,2,1,False,1,1.0,0.0007181167602539062,4,1,4.0
2025-12-27T18:49:39.792639,grover,2,4,3,0,3,False,1,1.0,0.0008251667022705078,4,1,4.0
2025-12-27T18:49:39.793232,grover,2,4,4,3,1,False,1,1.0,0.0005381107330322266,4,1,4.0
2025-12-27T18:49:39.793991,grover,2,4,5,1,3,False,1,1.0,0.0007011890411376953,4,1,4.0
2025-12-27T18:49:39.796074,grover,3,8,1,3,1,False,2,0.9453125000000001,0.0016562938690185547,8,2,4.0
2025-12-27T18:49:39.798428,grover,3,8,2,1,7,False,2,0.9453125000000001,0.002211332321166992,8,2,4.0
2025-12-27T18:49:39.799988,grover,3,8,3,2,1,False,2,0.9453125000000001,0.0015058517456054688,8,2,4.0
2025-12-27T18:49:39.801534,grover,3,8,4,1,1,True,2,0.9453125000000001,0.001470804214477539,8,2,4.0
2025-12-27T18:49:39.802944,grover,3,8,5,5,1,False,2,0.9453125000000001,0.0013344287872314453,8,2,4.0
2025-12-27T18:49:39.803440,comparison,2,4,0,-1,-1,True,1,1.0,0,2,1,2.0
2025-12-27T18:49:39.804060,comparison,3,8,0,-1,-1,True,2,1.0,0,4,2,2.0
2025-12-27T18:49:39.804498,comparison,4,16,0,-1,-1,True,3,1.0,0,8,3,2.6666666666666665
